LFQ	124	1	0	3	39	73	46	38	39	40	33	56	73	54	48	55	90	130	64	188	111	100	100	76	136	216	405	52	172	159	262	279	321	161	271	157	224	726	131	326	621	226	541	837	563	961	0	0	0
LFQ	125	4	0	3	37	58	50	52	48	51	45	58	72	68	50	48	102	131	79	180	101	100	117	92	125	211	394	65	129	175	283	277	311	161	261	135	224	665	137	320	604	228	542	857	532	1022	0	0	0
LFQ	126	1	0	1	35	49	50	45	41	59	35	60	79	60	63	43	102	112	87	157	106	98	125	100	121	198	379	68	149	184	237	327	333	176	320	151	232	658	131	359	576	214	492	853	560	978	0	0	0
LFQ	127	1	0	1	28	62	41	54	42	48	46	54	78	43	67	41	82	127	89	169	107	106	133	89	121	222	410	54	150	187	229	342	267	151	311	126	219	692	139	349	524	241	545	884	513	1020	0	0	0
LFQ	128	0	0	1	42	59	40	51	38	59	38	61	87	51	69	42	94	124	100	177	82	124	117	131	104	200	398	65	167	211	227	375	295	131	321	116	271	654	149	364	488	254	492	834	558	943	0	0	0
LFQ	129	19	0	1	42	48	53	48	52	58	32	67	85	53	66	48	89	127	76	165	97	108	142	107	100	218	376	55	171	213	242	369	315	116	304	153	240	596	145	415	500	248	536	801	528	980	0	0	0
LFQ	130	1	0	0	42	53	42	46	47	54	43	48	89	58	72	51	98	133	99	163	99	114	109	124	116	223	384	43	176	179	240	391	266	123	305	140	302	621	177	396	517	243	488	820	518	951	0	0	0
LFQ	131	0	0	1	28	70	49	44	40	58	49	70	87	53	63	35	100	112	107	171	87	85	124	121	88	262	401	61	150	204	240	367	278	115	320	118	272	615	182	388	504	271	543	803	474	994	0	0	0
LFQ	132	10	0	1	42	54	51	41	46	62	38	41	88	58	65	45	102	129	94	192	99	112	137	108	90	254	409	53	145	194	207	353	296	121	310	147	264	614	150	376	493	248	535	756	564	1010	0	0	0
LFQ	133	0	0	2	37	74	46	50	44	49	45	69	80	52	62	30	96	104	102	186	95	89	123	132	116	227	360	74	142	218	192	413	254	108	312	144	320	588	191	444	465	264	547	743	519	996	0	0	0
LFQ	134	0	0	1	45	58	44	41	47	52	49	57	96	46	54	43	96	130	110	183	87	118	110	103	114	239	331	74	175	236	226	409	244	137	301	151	327	537	200	363	480	294	500	783	502	1011	0	0	0
LFQ	135	0	0	1	50	64	44	31	58	48	41	54	68	46	81	42	104	123	137	155	75	106	114	120	128	255	318	64	170	235	216	436	222	123	324	163	354	501	189	352	479	252	549	767	510	1035	0	0	0
LFQ	136	0	0	3	34	65	46	38	39	70	52	56	82	39	70	34	110	98	123	161	86	114	123	131	122	251	357	63	177	205	197	466	175	133	300	178	374	478	191	382	489	279	533	778	504	998	0	0	0
LFQ	137	0	0	3	50	55	43	40	51	54	59	68	89	38	75	39	105	124	141	161	90	128	100	137	148	243	292	71	181	224	185	488	169	144	302	175	405	456	235	391	439	280	543	682	489	1012	0	0	0
LFQ	138	0	0	2	40	69	54	47	44	68	40	59	77	38	89	37	101	117	123	153	84	112	92	115	150	282	307	81	177	213	220	467	177	129	339	173	438	433	240	328	491	306	553	721	434	984	0	0	0
LFQ	139	0	0	1	44	61	63	57	46	61	43	68	97	50	80	40	109	159	116	152	84	117	103	118	136	241	265	81	197	233	205	478	168	120	315	179	395	401	235	395	500	311	534	723	443	980	0	0	0
LFQ	140	0	0	4	56	66	44	59	67	53	58	64	100	48	89	33	103	128	115	161	78	139	108	137	143	271	281	90	219	214	207	473	163	120	311	177	393	371	274	363	453	283	517	712	453	1006	0	0	0
LFQ	141	0	0	3	46	64	54	64	46	72	61	62	95	56	64	51	113	155	115	180	81	121	127	136	162	239	261	96	193	247	221	452	142	142	331	171	400	362	260	393	462	274	534	640	459	997	0	0	0
LFQ	142	0	0	1	39	70	53	47	59	76	47	62	89	52	95	33	94	149	122	172	75	127	114	139	178	201	298	95	210	211	231	480	109	141	322	174	454	380	272	388	414	271	545	676	433	1006	0	0	0
LFQ	143	0	0	2	39	65	51	55	51	55	54	77	80	63	78	48	137	152	116	175	85	122	105	156	181	209	265	92	199	222	246	493	109	135	357	178	409	335	262	345	434	301	521	687	421	1037	0	0	0
LFQ	144	0	0	0	35	62	76	44	55	66	51	58	71	70	82	45	109	128	120	152	85	129	141	153	206	191	283	106	202	193	243	460	70	121	310	184	419	341	316	372	458	335	543	684	440	995	0	0	0
LFQ	145	6	0	0	46	73	59	53	60	70	63	66	78	57	95	44	97	164	127	146	95	147	115	171	232	185	268	93	230	185	247	438	78	143	357	203	457	315	280	377	439	302	507	613	445	977	1	0	0
LFQ	146	7	0	1	46	77	56	48	46	66	62	68	70	41	90	53	111	147	100	176	80	105	118	165	220	201	269	98	241	193	280	475	76	128	325	177	482	266	341	335	426	314	564	684	392	984	0	0	0
LFQ	147	1	0	2	49	61	60	43	43	68	63	66	82	42	76	45	136	140	103	130	72	130	126	164	230	172	238	92	222	207	328	475	68	156	345	181	501	278	423	331	368	347	517	663	412	947	1	0	0
LFQ	148	0	0	2	37	64	72	57	39	69	67	79	89	47	92	44	111	155	91	125	74	125	117	172	209	194	226	115	228	205	320	453	87	150	319	190	488	274	356	349	394	397	485	639	402	995	1	0	0
LFQ	149	0	0	1	43	76	54	57	58	66	66	65	79	48	99	55	133	145	119	131	82	144	116	147	241	190	223	115	222	192	334	449	83	165	332	194	487	245	418	338	377	400	455	640	356	962	2	0	0
LFQ	150	0	0	2	41	46	54	57	48	56	77	62	70	44	92	49	131	166	118	130	89	129	137	148	239	233	216	130	209	213	353	393	68	139	326	217	495	258	439	298	341	415	459	703	368	944	1	1	0
# Mismatches per cycle and quality. Use `grep ^MPC | cut -f 2-` to extract this part.
# Columns correspond to qualities, rows to cycles. First column is the cycle number, second
# is the number of N's and the rest is the number of mismatches
MPC	1	0	0	0	1	4	2	0	1	2	1	1	2	1	0	0	0	0	1	2	0	0	1	0	0	0	2	0	0	0	0	2	0	2	1	2	0	4	7	0	0	0	0	0	0	0	0	0	0
MPC	2	0	0	0	0	2	3	2	3	0	0	2	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	4	0	0	0	0	0	0	0	0
MPC	3	0	0	0	0	2	2	2	2	0	1	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
MPC	4	0	0	0	0	1	2	1	0	3	3	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
MPC	5	0	0	0	0	4	4	1	0	1	1	2	1	1	1	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	3	2	0	0	0	0	0	0	0	0
MPC	6	0	0	0	0	1	1	2	0	1	2	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	1	1	1	1	1	0	2	0	0	0	0	0	0	0	0
MPC	7	0	0	0	0	1	4	2	1	4	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	0	1	2	0	4	0	0	0	0	0	0	0	0
MPC	8	0	0	0	0	2	3	2	1	2	0	0	2	1	2	1	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	3	2	1	4	0	0	0	0	0	0	0	0
MPC	9	4	0	0	0	3	3	3	1	1	3	2	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	2	0	0	0	0	0
MPC	10	0	0	0	0	1	1	0	1	2	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
MPC	11	0	0	0	1	1	4	2	2	3	1	0	1	0	0	1	0	0	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	2	3	3	1	0	0	0	0	0
MPC	12	0	0	0	0	2	0	2	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	4	3	0	0	0	0	0	0
MPC	13	0	0	0	0	1	5	3	5	5	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	2	0	0	0	0	0	0
MPC	14	0	0	0	0	3	2	2	1	0	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0
MPC	15	0	0	0	0	5	1	3	1	3	1	1	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	3	2	0	0	0	0	0
MPC	16	0	0	0	0	4	4	2	2	4	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	1	1	0	0	0
MPC	17	0	0	0	0	1	9	3	1	3	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	3	1	0	0
MPC	18	23	0	0	0	4	8	3	5	1	2	0	2	1	1	1	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	1	0	1	0	0
MPC	19	4	0	0	0	4	6	4	5	2	0	1	0	2	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	1	0	1	1	0	0
MPC	20	0	0	0	0	4	9	0	7	0	1	1	1	3	1	2	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	2	0	2	3	1	1	0	0
MPC	21	0	0	0	0	2	6	4	9	4	0	0	1	1	1	0	0	1	2	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	4	0	0
MPC	22	0	0	0	0	2	5	3	6	5	4	2	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	2	0	0	1	0	1	1	2	0	0
MPC	23	0	0	0	0	3	7	7	4	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0
MPC	24	0	0	0	0	4	3	5	2	2	3	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	2	1	1	0	1	0	0
MPC	25	0	0	0	0	4	6	5	7	2	1	1	1	2	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	3	0	0
MPC	26	2	0	0	0	3	4	4	3	3	4	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
MPC	27	4	0	0	0	2	8	2	5	1	0	1	2	2	0	1	1	1	0	0	1	3	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MPC	28	0	0	0	0	4	8	2	3	1	2	1	3	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0
MPC	29	0	0	0	0	5	12	5	3	1	4	0	3	2	2	2	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	2	1	0	2	0	0	1	0	0
MPC	30	0	0	0	0	12	7	6	5	5	4	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
MPC	31	1	0	0	0	2	10	2	1	1	2	1	1	1	0	1	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	2	0	0
MPC	32	0	0	0	0	3	3	7	9	1	3	3	1	2	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	0	0	1	1	0	1	0	0	0
MPC	33	20	0	0	0	5	4	2	4	2	5	1	2	2	1	0	2	1	0	1	0	2	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
MPC	34	1	0	0	0	5	6	1	5	5	6	1	0	2	0	3	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	2	0	0	1	2	1	0	1	1	0	0
MPC	35	0	0	0	0	6	10	1	3	1	2	2	0	2	1	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	1	0	0
MPC	36	5	0	0	0	2	7	5	6	0	4	3	1	2	0	3	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
MPC	37	0	0	0	0	6	13	4	2	2	1	1	1	3	1	0	0	1	3	1	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	1	2	0	1	0	2	0	0
MPC	38	9	0	0	0	5	8	6	3	2	4	3	1	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	3	1	1	2	0	0
MPC	39	0	0	0	0	5	6	4	6	2	4	2	1	1	1	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0
MPC	40	0	0	0	0	6	5	4	4	4	3	2	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	3	0	1	0	0	0	1	0	1	1	1	0	1	0	0
MPC	41	0	0	0	0	6	5	8	5	3	3	2	4	0	1	2	2	1	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0
MPC	42	0	0	0	0	4	13	6	4	1	0	1	2	2	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0
MPC	43	2	0	0	0	6	10	3	5	3	6	0	1	1	0	2	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	1	0	0
MPC	44	0	0	0	0	6	8	4	6	2	3	1	1	4	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	2	0	0
MPC	45	0	0	0	0	3	12	2	5	2	2	2	3	0	2	2	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	2	1	1	1	0	0	0	0
MPC	46	0	0	0	0	4	11	6	2	5	2	3	2	2	0	1	3	0	0	2	0	0	0	0	0	0	2	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	2	0	1	0	0
MPC	47	0	0	0	0	4	8	7	4	5	6	2	3	1	0	0	1	0	1	1	2	1	0	0	1	0	0	0	0	2	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0
MPC	48	0	0	0	0	5	9	5	5	1	6	2	0	2	0	1	2	0	0	1	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0
MPC	49	0	0	0	0	3	9	3	5	3	4	3	3	0	1	1	1	0	2	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	2	0	0
MPC	50	0	0	0	0	5	11	6	2	2	3	4	1	2	1	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	1	0	0	2	0	0
MPC	51	0	0	0	0	6	7	10	3	2	7	1	3	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	1	2	1	0	0
MPC	52	0	0	0	0	7	6	6	7	7	5	3	1	1	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
MPC	53	1	0	0	0	5	12	7	5	0	2	0	2	1	0	0	1	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
MPC	54	0	0	0	0	2	9	5	5	2	4	3	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	2	0	1	0	0
MPC	55	0	0	0	0	9	11	10	7	3	4	1	3	1	2	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0
MPC	56	0	0	0	0	6	8	9	8	3	5	2	2	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	1	0	0	0	2	1	0	0
MPC	57	0	0	0	0	6	12	6	5	0	4	0	1	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	0	0
MPC	58	0	0	0	0	6	9	15	12	1	5	3	0	2	2	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	3	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	0
MPC	59	0	0	0	0	6	12	2	1	4	2	4	4	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	2	1	0	0
MPC	60	0	0	0	0	6	13	5	9	1	1	3	2	1	4	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
MPC	61	0	0	0	0	6	5	4	5	3	4	4	2	1	0	1	2	2	1	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
MPC	62	0	0	0	0	10	8	4	4	0	5	1	4	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	1	2	0	1	0	1	2	0	0
MPC	63	0	0	0	0	8	12	4	7	3	5	1	0	5	2	2	1	2	2	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0
MPC	64	1	0	0	0	10	8	4	8	4	3	4	3	3	0	0	0	1	0	1	1	0	1	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	1	2	2	0	0	0
MPC	65	0	0	0	0	9	12	5	5	3	3	2	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	2	0	0
MPC	66	1	0	0	0	8	15	9	6	5	6	2	2	3	0	0	1	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	1	1	0	0
MPC	67	1	0	0	0	6	8	11	5	5	6	0	4	3	1	1	1	1	1	0	3	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	2	1	0	0	0
MPC	68	0	0	0	0	9	9	4	8	3	3	5	3	2	2	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	2	2	0	0	0
MPC	69	0	0	0	0	7	7	10	7	3	5	1	2	1	1	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
MPC	70	0	0	0	0	13	9	7	7	6	1	2	2	2	2	0	1	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	1	1	0	0
MPC	71	0	0	0	0	7	11	9	7	1	6	3	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	2	0	0	0
MPC	72	0	0	0	0	7	8	19	10	4	7	1	1	1	1	0	1	2	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0
MPC	73	0	0	0	0	15	11	11	7	3	5	0	5	1	0	1	2	2	0	1	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	2	2	2	0	0
MPC	74	0	0	0	1	2	7	9	6	4	2	1	3	3	0	3	2	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	0	1	0	1	1	2	0	0
MPC	75	6	0	0	0	5	15	11	6	2	8	3	4	2	1	0	0	1	0	0	0	0	1	1	1	0	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	1	0	0
MPC	76	0	0	0	0	12	8	9	6	4	4	4	4	0	0	2	3	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0
MPC	77	0	0	0	0	11	13	7	10	1	3	2	3	1	1	2	0	0	2	1	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	2	0	1	0	0
MPC	78	0	0	0	0	14	12	10	3	2	6	1	1	3	1	1	2	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0
MPC	79	0	0	0	0	9	13	8	12	4	6	0	2	0	5	0	0	1	2	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0
MPC	80	0	0	0	0	9	12	10	5	2	8	2	3	1	1	1	2	1	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	3	1	1	0	0
MPC	81	0	0	0	0	10	10	8	11	4	6	2	2	1	0	1	1	1	0	0	1	0	0	1	0	1	1	0	1	2	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	2	0	0	0
MPC	82	0	0	0	0	6	3	12	5	7	5	3	4	4	0	1	5	0	1	1	1	1	1	0	0	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0
MPC	83	0	0	0	0	16	15	10	11	5	5	4	2	2	0	2	2	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
MPC	84	0	0	0	1	13	10	8	6	5	7	2	3	3	2	0	5	1	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	2	0	1	0	0
MPC	85	0	0	0	1	5	15	8	7	4	7	3	5	2	2	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0
MPC	86	0	0	0	0	14	11	7	3	1	5	1	2	1	0	2	0	3	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	3	0	0
MPC	87	1	0	0	0	11	10	11	7	5	9	2	5	2	5	1	0	1	0	0	1	1	0	1	0	0	2	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0
MPC	88	0	0	0	0	6	12	8	6	3	5	2	3	1	1	2	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	3	0	0	0	1	0	1	0	0	0	2	0	0	0	3	0	0	0
MPC	89	0	0	0	0	9	19	9	9	3	1	1	3	1	1	0	1	0	2	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0
MPC	90	0	0	0	2	10	12	12	10	5	3	5	4	0	5	1	0	1	0	1	2	1	0	1	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
MPC	91	1	0	0	1	9	15	9	10	3	4	3	4	2	5	2	0	0	1	2	2	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	0	0
MPC	92	0	0	0	1	10	14	5	7	4	5	2	0	2	3	1	0	0	0	3	2	1	0	1	0	2	0	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0
MPC	93	0	0	0	0	10	21	10	7	3	3	0	1	4	2	1	2	0	1	1	1	2	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0
MPC	94	1	0	0	0	9	17	11	7	4	5	2	3	4	2	3	2	1	1	2	2	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0
MPC	95	0	0	0	2	7	16	8	9	6	5	2	2	4	1	1	1	1	1	1	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0
MPC	96	0	0	0	1	13	12	11	6	4	4	0	3	3	2	2	1	0	1	1	1	0	0	3	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	1	1	0	0	0
MPC	97	0	0	0	0	3	13	7	8	5	5	1	4	2	2	1	2	1	2	1	1	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0
MPC	98	0	0	0	0	8	17	7	4	4	2	4	1	2	2	2	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0
MPC	99	0	0	0	1	17	18	6	6	4	8	5	7	3	3	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0
MPC	100	1	0	0	0	9	13	9	13	5	6	2	9	2	1	0	1	1	0	0	3	2	1	2	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0
MPC	101	0	0	0	0	10	15	8	6	5	6	1	3	1	1	0	4	2	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MPC	102	0	0	0	1	11	21	12	5	9	9	1	6	5	3	0	2	0	0	3	0	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0
MPC	103	3	0	0	0	11	14	13	10	7	8	1	5	3	1	1	1	0	3	0	3	0	3	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0
MPC	104	0	0	0	1	7	12	9	6	5	6	3	6	1	4	2	0	3	3	1	0	1	0	1	2	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	2	1	0	0	0
MPC	105	0	0	0	2	6	12	10	6	8	11	3	6	4	1	0	2	0	0	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0
MPC	106	0	0	0	1	5	11	9	3	8	6	3	4	1	1	4	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	2	0	0
MPC	107	0	0	0	1	8	14	16	2	4	4	3	5	0	2	0	1	3	0	0	3	4	0	0	0	2	0	1	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0
MPC	108	0	0	0	1	7	12	8	13	5	3	1	4	1	2	5	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	1	0	0	0
MPC	109	0	0	0	0	10	15	10	5	4	9	7	7	3	2	1	2	3	1	2	1	0	2	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0
